YEAR,DOY,T2M_MAX,T2M_MIN,RH2M
2023,229,19.45,8.48,83.81
2023,230,19.52,9.12,74.62
2023,231,20.33,9.69,77.75
2023,232,18.6,10.9,83.81
2023,233,18.05,10.7,87.56
2023,234,18.15,10.56,88.12
2023,235,18.19,9.43,81.44
2023,236,17.01,8.9,76.5
2023,237,18.8,9.78,73.5
2023,238,16.48,9.51,75.81
2023,239,18.17,8.4,80.69
2023,240,16.76,8.3,88.69
2023,241,19.0,8.15,83.12
2023,242,18.62,8.46,79.44
2023,243,17.12,8.41,84.12
2023,244,19.09,9.89,85.44
2023,245,20.51,8.75,77.31
2023,246,21.5,10.96,74.5
2023,247,17.9,9.19,84.5
2023,248,17.61,8.37,84.5
2023,249,18.62,8.54,81.62
2023,250,19.61,7.44,68.12
2023,251,19.91,8.03,64.31
2023,252,19.16,7.66,75.06
2023,253,16.51,8.83,87.19
2023,254,19.26,9.05,78.5
2023,255,20.05,8.62,76.88
2023,256,20.19,9.16,72.56
2023,257,16.98,9.75,84.38
2023,258,17.4,8.41,79.62
2023,259,18.73,7.33,71.25
2023,260,19.37,8.15,71.69
2023,261,18.54,8.38,81.75
2023,262,18.56,9.65,83.38
2023,263,18.17,9.51,78.0
2023,264,19.01,9.28,75.44
2023,265,19.33,9.12,82.06
2023,266,19.62,9.08,81.38
2023,267,19.46,9.05,81.5
2023,268,18.77,9.94,82.25
2023,269,20.79,9.98,76.62
2023,270,22.32,11.23,76.56
2023,271,21.04,11.36,81.56
2023,272,20.5,11.61,84.44
2023,273,17.92,10.85,87.19
2023,274,18.71,9.51,81.56
2023,275,21.3,10.68,72.25
2023,276,22.01,11.72,80.19
2023,277,20.4,12.69,82.94
2023,278,20.66,12.43,79.5
2023,279,19.33,12.09,74.25
2023,280,22.13,11.07,74.44
2023,281,19.98,11.54,85.62
2023,282,18.9,11.15,84.0
2023,283,18.92,10.41,87.44
2023,284,20.75,10.12,80.0
2023,285,20.49,10.52,76.06
2023,286,19.3,9.69,82.31
2023,287,18.47,10.12,83.88
2023,288,18.37,8.83,83.0
2023,289,18.62,9.01,77.75
2023,290,19.32,9.62,79.06
2023,291,18.76,9.57,82.06
2023,292,18.41,9.95,83.56
2023,293,16.83,9.37,80.62
2023,294,19.78,9.35,78.44
2023,295,19.68,10.25,81.44
2023,296,18.76,10.85,83.38
2023,297,21.44,10.7,79.56
2023,298,20.51,11.5,79.12
2023,299,20.94,12.65,79.44
2023,300,18.42,12.83,82.38
2023,301,19.26,11.87,81.44
2023,302,18.12,10.9,84.06
2023,303,20.3,12.28,85.88
2023,304,17.82,12.59,85.75
2023,305,19.16,12.23,81.88
2023,306,19.08,11.74,87.88
